char_name,description,extra
Credence Barebone,"Credence Barebone appears to be the adopted son of Mary Lou Barebone, a fanatical leader of the anti-magic Second Salem Philanthropic Society in 1920s New York. Along with his two adopted sisters, he would often help his mother and the Second Salemers by hanging up posters, finding places to… Read More",
Barebone Family,"The Barebone family was a historical No-Maj American family descended from Scourers and known for being anti-magic. At least one adopted member was found to be magical, however (WFT). Members include: Bartholomew Barebone Mary Lou Barebone Chastity Barebone Credence Barebone Modesty Barebone… Read More",
Mary Lou Barebone,"Mary Lou Barebone was the fanatical leader of the New Salem Philanthropic Society, an anti-magic group active in New York during the 1920s. A “handsome” woman who wore Puritanical clothing like her Scourer ancestors, Mary Lou was also mother to three adopted children whom she raised inside the New Salem… Read More",
Modesty Barebone,"Modesty Barebone was the youngest adopted daughter of Mary Lou Barebone, a Second Salem leader in 1920s New York. Read More",
Lucas Bargeworthy,"Lucas Bargeworthy was a Beater for the England National Team in 1870s. Bargeworthy was a participant in the mysterious 1877 Quidditch World Cup tournament held in Kazakhstan. Retaining no recollection of any of the events of the so-called “Tournament that Nobody Remembers“, he was missing most of his teeth when he… Read More",
Barker,Barker was the harried assistant of newspaper magnate Henry Shaw Sr. (WFT). Read More,
Barnabas the Barmy,Barnabas the Barmy was a wizard who famously tried to teach ballet to trolls but was clubbed for his efforts. Barnabas is depicted on a moving tapestry on seventh floor of Hogwarts which shows his foolish attempt to train trolls for the ballet. The tapestry hangs opposite the entrance to… Read More,
Barnabas Cuffe,Barnabas Cuffe was editor of the Daily Prophet (HBP4). Read More,
Barnabas Deverill,"Barnabas Deverill was a one-time possessor of the Elder Wand who was killed by Loxias (DH21). He lived in the early eighteenth century and was a notorious Dark wizard who, with the help of the Elder Wand, gained a fearsome reputation (TBB). Read More",
Barnabus Finkley,"Barnabus Finkley was presumably a famously accomplished wizard, whom the Barnabus Finkley Prize for Exceptional Spell Casting was named after.  Albus Dumbledore received this award while he was a student at Hogwarts (DH18). Read More",
Barnaby Snell,"Barnaby Snell is a fan of the Chudley Cannons Quidditch team in the 1990s. Mr Snell was quoted in the Daily Prophet. He was in disbelief after the team defeated the Wigtown Wanderers, a win which ended the Cannons’ seventeen-game losing streak (DP3). Read More",
Cousin Barny,A red-haired Muggle boy whose appearance Harry uses in his “Cousin Barny” role at Bill and Fleur’s wedding (DH8). Read More,
Barry Ryan,"Barry Ryan was a Quidditch player and Keeper for Ireland’s National Team (1994). Ryan was a member of the winning team at the 1994 Quidditch World Cup, along with teammates Connolly and Quigley (Beaters), Aidan Lynch (Seeker), Moran, Mullet and Troy (Chasers) (GF8). Rather than for Ireland’s exciting final match against the… Read More",
Barty Crouch Jr.,"Bartemius Crouch Jr., known as Barty, was one of Voldemort’s most faithful Death Eaters. Barty Crouch Jr. was the only child of Ministry official Barty Crouch, Sr., who personally sent his son to Azkanban. Read More",
Barty Crouch Sr.,"Bartemius Crouch Sr. was a strict ministry official, known for sentencing his own son to Azkaban. Barty Crouch Sr. was famous for aggressively prosecuting Dark Wizards in the days of Voldemort’s rise to power. His fervor led him to authorize methods almost as bad as those of the Death Eaters… Read More",
Baruffio,Baruffio was a wizard who mispronounced a charm and suffered for it (PS10). Lent his name to some patent medicine of dubious value called Baruffio’s Brain Elixir (OP31). Read More,
Ali Bashir,"Ali Bashir was a flying carpet merchant who was very interested in importing flying carpets into Britain. Arthur Weasley wouldn’t allow it, so Ali tried to smuggle carpets in (GF7, GF23). Read More",
Basil,Basil was one of two “tired and grumpy” wizards working at the Portkey landing site at the 1994 Quidditch World Cup (GF7)… Read More,
Basil Flack,"Basil Flack was the sixth Minister for Magic only two months in 1752, when he resigned (from fear?) due to a sudden Goblin-Werewolf alliance (Pm). Read More",
Basil Horton,"Basil Horton played for the Falmouth Falcons, a Quidditch team from England, in the 1920s. Along with his Falcons teammate Randolph Keitch, he started the Comet Trading Company in 1929. He and Randolph are also the creators of the Horton-Keitch Braking Charm (QA9). Read More",
Bathsheda Babbling,Bathsheda Babbling was Hogwarts Professor for the Study of Ancient Runes. Read More,
Barny the Fruitbat,Barny the Fruitbat is the mascot of the Ballycastle Bats Quidditch team and a figure used in Butterbeer advertisements (QA7). Read More,
Charlie Baverstock,"Charlie Baverstock is the Manager of New Zealand’s Quidditch Team in 2014. At the 2014 Quidditch World Cup, Baverstock expressed his anger in colourful language after his star Chaser Dennis Moon was sent off by a Referee in their first match of the tournament – a dramatic loss… Read More",
Beatrix Bloxam,Beatrix Bloxam was the author of The Toadstool Tales series of children’s books. These books have been banned because they cause nausea and vomiting. Bloxam appears on a Famous Wizard card (FW) and is mentioned several times in Tales of Beedle the Bard (TBB). Bloxam’s stated ideas for children’s stories… Read More,
Beaumont Marjoribanks,"Beaumont Marjoribanks was a pioneer in the field of Herbology. He collected and classified many rare and magical plants. Marjoribanks is credited with discovering Gillyweed, although Elladora Ketteridge had discovered it about a century earlier (FW). Read More",
several Beauxbatons students,,
Beedle the Bard,Beedle the Bard was the accredited author of wizarding children’s fairy tales. Read More,
Herbert Beery,"Herbert Beery was the Herbology Professor sometime during Armando Dippet’s tenure as Headmaster.  He was a theatre enthusiast, and was responsible for Hogwarts’s only attempt at a pantomime.  Beery attempted to put on an adaptation of “Fountain of Fair Fortune,” with himself as director, but the evening ended in disaster… Read More",
Mr. Belby,"Mr. Belby was the father of Marcus Belby and the estranged brother of Damocles Belby, inventor of the Wolfsbane Potion (HBP7). Read More",
Humphrey Belcher,Humphrey Belcher was a wizard who mistakenly thought a cheese cauldron would be a good idea (HBP10). Read More,
Katie Bell,"Katie Bell is a Gryffindor girl a year older than Harry, one of the three Chasers on the Gryffindor Quidditch team during most of Harry’s years at Hogwarts. Oliver Wood considered her to be a superb Chaser (PA8), along with Angelina Johnson and Alicia Spinnet,… Read More",
Brother Benedict,"Brother Benedict was a Medieval Franciscan monk in Worcestershire who had an encounter with a Jarvey, but thought it was an overlarge ferret. It insulted him, then bit him on the nose. His fellow monks thought he’d overindulged in turnip wine when he told them about it (FB).  … Read More",
Benedita Dourado,"Benedita Dourado was the Headmistress of Castelobruxo in the 1940s. She is famous for offering to send then-Headmaster of Hogwarts, Armando Dippet, a few of the annoyingly mischievous Caipora who guard the Brazilian school to show him how easy he has it with Peeves (Pm). Read More",
Benjy Fenwick,Benjy Fenwick was a member of the Order of the Phoenix during the 1970s. He was killed by Death Eaters (OP9). Read More,
Benjy Williams,"Benjy Williams played Seeker for Puddlemere United Quidditch team in the 1990s (DP4). His catch of the Snitch, amidst the chaos of the riot that occurred during the grudge match against the Holyhead Harpies, won the game and brought it to a close. He and other… Read More",
Amy Benson,Amy Benson was a child from the orphanage whom Tom Riddle once terrorized in a seaside cave (HBP13). Read More,
Bernadette,"Bernadette was an Executioner at MACUSA in 1920s New York. When Tina Goldstein and Newt Scamander were accused by Auror Percival Graves of using an Obscurus to cause destruction, Bernadette led Tina to the Death Cell. She extracted happy memories from Tina’s mind and dropped them into the pool of… Read More",
Bernie Pillsworth,"Bernie Pillsworth was a wizard who worked at the Ministry of Magic. Ron Weasley, disguised as Reginald Cattermole, had to fetch Bernie to help him stop the rain from falling inside Yaxley’s office. (DH13)  … Read More",
Bertha Jorkins,Bertha Jorkins was a Ministry of Magic witch murdered by Voldemort. Read More,
Bertha Jorkins' second cousin,,
Berthilde Roche,Berthilde Roche was one of MACUSA’s original twelve aurors (Pm). Read More,
Bertie Bott,"Bertie Bott is a wizard inventor who created the popular candy Bertie Bott’s Every Flavour Beans. While experimenting with ways to create tasty candies from food, Bott accidentally included a pair of dirty socks in one of his trials, and created the first of the many surprises found in Bertie… Read More",
Bertie Higgs,"Bertie Higgs was a hunting buddy of Cormac McLaggen’s uncle Tiberius. Cormac and his uncle accompanied Bertie and Rufus Scrimgeour to Norfolk, where they hunted Nogtails. Read More",
Bertram Aubrey,"Hogwarts student, 1970s James Potter and Sirius Black once received detention for hexing Aubrey and causing his head to grow twice its normal size (HBP24). Harry learned about it when Snape gave him a detention and made him copy-over Mr. Filch’s filing cabinet cards. Read More",
Bertrand de Pensées-Profondes,"Bertrand de Pensées Profondes was a renowned wizarding philosopher and author of A Study into the Possibility of Reversing the Actual and Metaphysical Effects of Natural Death, with Particular Regard to the Reintegration of Essence and Matter (TBB). Read More",
